ECNumber	EnzymeType	Organism	Smiles	Substrate	UniprotID	Value	Unit
1.2.1.59	L36T/T37K/D35G	Corynebacterium glutamicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	Q01651	4.2	s^(-1)
1.2.1.59	D35G	Corynebacterium glutamicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	Q01651	6.37	s^(-1)
1.2.1.59	L36T/P192S/D35G	Corynebacterium glutamicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+	Q01651	6.48	s^(-1)
1.2.1.59	L36T/T37K/P192S/D35G	Corynebacterium glutamicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+	Q01651	7.13	s^(-1)
1.2.1.59	L36T/T37K/D35G	Corynebacterium glutamicum	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N	NADP+	Q01651	8.0	s^(-1)
4.3.1.3	wildtype	Pseudomonas putida	C1=C(NC=N1)CC(C(=O)O)N	L-Histidine		255.0	s^(-1)
2.1.1.255	wildtype	Streptomyces coelicolor	C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O	S-Adenosyl-L-methionine	Q9F1Y5	0.0075	s^(-1)
2.1.1.255	wildtype	Streptomyces coelicolor	CC(=CCCC(=C(C)COP(=O)(O)OP(=O)(O)O)C)C	(E)-2-Methylgeranyl diphosphate	Q9F1Y5	0.039	s^(-1)
1.2.1.65	wildtype	Pseudomonas sp.	C1=CC=C(C=C1)C=O	Benzaldehyde		26.4	s^(-1)
1.2.1.65	wildtype	Pseudomonas sp.	C1=CC(=CC=C1C=O)[N+](=O)[O-]	p-Nitrobenzaldehyde		59.0	s^(-1)
1.2.1.65	wildtype	Pseudomonas sp.	C1=CC(=CC(=C1)Cl)C=O	3-Chlorobenzaldehyde		65.0	s^(-1)
1.2.1.65	E175A	Alteromonas naphthalenivorans	C1=CC=C(C(=C1)C=O)O	o-Hydroxybenzaldehyde		82.2	s^(-1)
1.2.1.65	wildtype	Pseudomonas sp.	C1=CC=C(C(=C1)C=O)O	o-Hydroxybenzaldehyde		93.6	s^(-1)
1.2.1.65	wildtype	Pseudomonas sp.	C1=CC=C2C=C(C=CC2=C1)C=O	2-Naphthaldehyde		96.0	s^(-1)
1.2.1.65	wildtype	Pseudomonas sp.	C1=CC(=CC=C1C=O)Cl	4-Chlorobenzaldehyde		98.0	s^(-1)
1.2.1.65	N149A	Alteromonas naphthalenivorans	C1=CC=C(C(=C1)C=O)O	o-Hydroxybenzaldehyde		100.4	s^(-1)
1.2.1.65	wildtype	Alteromonas naphthalenivorans	C1=CC=C(C(=C1)C=O)O	o-Hydroxybenzaldehyde		123.6	s^(-1)
1.2.1.65	V153A	Alteromonas naphthalenivorans	C1=CC=C(C(=C1)C=O)O	o-Hydroxybenzaldehyde		153.5	s^(-1)
1.2.1.65	E175A	Alteromonas naphthalenivorans	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	F5Z5S7	157.6	s^(-1)
1.2.1.65	N149A	Alteromonas naphthalenivorans	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	F5Z5S7	254.5	s^(-1)
1.2.1.65	wildtype	Alteromonas naphthalenivorans	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	F5Z5S7	234.3	s^(-1)
5.3.2.2	wildtype	Bos taurus	C(=C(C(=O)[O-])[O-])C(=O)O	enol-oxaloacetate		45.7	s^(-1)
2.7.1.49	wildtype	Staphylococcus aureus	CC1=NC=C(C(=C1O)CO)CO	pyridoxine	A0A0H3JTP0	0.016	s^(-1)
2.7.1.49	C110A	Staphylococcus aureus	CC1=NC=C(C(=N1)N)CO	2-methyl-4-amino-5-hydroxymethylpyrimidine		0.044	s^(-1)
2.7.1.49	wildtype	Staphylococcus aureus	CC1=NC=C(C(=N1)N)CO	2-methyl-4-amino-5-hydroxymethylpyrimidine		0.045	s^(-1)
2.7.1.49	wildtype	Plasmodium falciparum	CC1=NC=C(C(=N1)N)CO	2-methyl-4-amino-5-hydroxymethylpyrimidine		0.07	s^(-1)
2.7.1.49	wildtype	Escherichia coli	CC1=NC=C(C(=C1O)CO)CO	pyridoxine		0.36	s^(-1)
2.7.1.49	wildtype	Escherichia coli	CC1=NC=C(C(=N1)N)CO	2-methyl-4-amino-5-hydroxymethylpyrimidine		0.43	s^(-1)
2.7.1.49	wildtype	Escherichia coli	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.43	s^(-1)
1.10.3.4	wildtype	Streptomyces griseus	C1=CC(=C(C=C1C=O)O)O	3,4-Dihydroxybenzaldehyde		0.8	s^(-1)
1.10.3.4	wildtype	Streptomyces griseus	C1=CC=C(C(=C1)O)O	Catechol		12.0	s^(-1)
1.10.3.4	wildtype	Streptomyces griseus	C1=CC(=C(C=C1C=O)N)O	3-amino-4-hydroxybenzaldehyde		14.0	s^(-1)
1.10.3.4	wildtype	Streptomyces griseus	CC1=CC(=C(C=C1)O)N	2-Amino-p-cresol		18.0	s^(-1)
1.10.3.4	wildtype	Streptomyces griseus	C1=CC=C(C(=C1)N)O	o-aminophenol		20.0	s^(-1)
2.1.1.269	wildtype	Ruegeria pomeroyi	C[S+](C)CCC(=O)[O-]	dimethylsulfoniopropionate	Q5LS57	2.4	s^(-1)
2.1.1.269	wildtype	Candidatus Pelagibacter ubique	C[S+](C)CCC(=O)[O-]	dimethylsulfoniopropionate		8.1	s^(-1)
1.1.1.22	K94E	Homo sapiens	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-D-galactose	O60701	0.02	s^(-1)
1.1.1.22	K94E	Homo sapiens	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	O60701	0.055	s^(-1)
1.1.1.22	wildtype	Streptococcus pyogenes	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-D-galactose	P0C0F4	1.8	s^(-1)
1.1.1.22	wildtype	Burkholderia cenocepacia J2315	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-D-galactose		0.133	s^(-1)
1.1.1.22	wildtype	Burkholderia cenocepacia J2315	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+		0.156	s^(-1)
1.1.1.22	wildtype	Pseudomonas aeruginosa	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-D-galactose		0.81	s^(-1)
1.1.1.22	wildtype	Pseudomonas aeruginosa	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	Q9HY58	2.35	s^(-1)
1.1.1.22	wildtype	Homo sapiens	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-D-galactose	O60701	105.0	s^(-1)
1.1.1.22	wildtype	Arabidopsis thaliana	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-D-galactose	Q9FM01	2.53	s^(-1)
1.1.1.22	wildtype	Homo sapiens	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	O60701	105.0	s^(-1)
1.1.1.22	K323A	Escherichia coli	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+		2.7	s^(-1)
1.1.1.22	wildtype	Escherichia coli	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+		56.2	s^(-1)
1.1.1.22	wildtype	Burkholderia cepacia	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	C9E261	6.7	s^(-1)
1.1.1.22	wildtype	Burkholderia cepacia	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-D-galactose		6.9	s^(-1)
1.1.1.22	Y71F	Escherichia coli	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+		7.3	s^(-1)
1.1.1.22	wildtype	Sphingomonas elodea	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+		7.6	s^(-1)
1.1.1.22	wildtype	Sphingomonas elodea	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-D-galactose		8.73	s^(-1)
1.1.1.22	wildtype	Sphingomonas sanxanigenens	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N	NAD+	W0A856	50.2	s^(-1)
1.1.1.22	wildtype	Sphingomonas sanxanigenens	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	UDP-D-galactose		57.9	s^(-1)
1.1.1.22	A222Q/S233G	Homo sapiens	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O	UDP		97.0	s^(-1)
1.1.1.22	wildtype	Homo sapiens	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O	UDP		105.0	s^(-1)
5.4.2.10	wildtype	Escherichia coli	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O	beta-D-Glucose 1-phosphate	P31120	0.0138	s^(-1)
5.4.2.10	wildtype	Methanococcus maripaludis	C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O	beta-D-Glucose 1-phosphate		0.1	s^(-1)
5.4.2.10	wildtype	Methanococcus maripaludis	C(C1C(C(C(C(O1)OP(=O)(O)O)N)O)O)O	D-Glucosamine 1-phosphate		0.52	s^(-1)
5.4.2.10	wildtype	Escherichia coli	C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O	D-Glucosamine 6-phosphate	P31120	7.9	s^(-1)
4.1.2.4	R207E	Escherichia coli	C(C=O)C(C(CO)O)O	2-Deoxy-D-ribose	P0A6L0	0.064	s^(-1)
4.1.2.4	wildtype	Escherichia coli	C(C=O)C(C(CO)O)O	2-Deoxy-D-ribose	P0A6L0	0.107	s^(-1)
4.1.2.4	S239E	Escherichia coli	C(C=O)C(C(CO)O)O	2-Deoxy-D-ribose	P0A6L0	0.175	s^(-1)
4.1.2.4	S238D	Escherichia coli	C(C=O)C(C(CO)O)O	2-Deoxy-D-ribose	P0A6L0	0.21	s^(-1)
4.1.2.4	wildtype	Rhodococcus erythropolis	C(C=O)C(C(CO)O)O	2-Deoxy-D-ribose		1.23	s^(-1)
1.14.15.15	wildtype	Rattus norvegicus	CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C	Cholesterol		0.0117	s^(-1)
1.14.15.15	wildtype	Rattus norvegicus	CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C	1-alpha-Hydroxyvitamin D3		0.0233	s^(-1)
1.14.15.15	wildtype	Homo sapiens	CC(C)CCCC(C)C1CC(=O)C2=C3CCC4CC(CCC4(C3CCC12C)C)O	3beta-hydroxy-5alpha-cholest-8(14)-en-15-one		0.073	s^(-1)
1.14.15.15	wildtype	Rattus norvegicus	CC(C)CCCC(C)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C	3alpha,7alpha-Dihydroxy-5beta-cholestane	P17178	0.217	s^(-1)
1.14.15.15	wildtype	Rattus norvegicus	CC(C)CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane	P17178	0.6	s^(-1)
3.1.3.86	L597D/F593D	Homo sapiens	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)OP(=O)(O)O)O	Inositol 1,3,4,5-tetrakisphosphate		1.2	s^(-1)
3.1.3.86	wildtype	Homo sapiens	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)OP(=O)(O)O)O	Inositol 1,3,4,5-tetrakisphosphate		1.32	s^(-1)
3.1.3.86	R649A	Homo sapiens	CC(=O)OC(COP(=O)(O)OC1C(C(C(C(C1O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)OC(=O)C	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate		1.35	s^(-1)
3.1.3.86	R649A	Homo sapiens	C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)OP(=O)(O)O)O	Inositol 1,3,4,5-tetrakisphosphate		1.64	s^(-1)
3.1.3.86	L597D/F593D	Homo sapiens	CC(=O)OC(COP(=O)(O)OC1C(C(C(C(C1O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)OC(=O)C	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate		4.44	s^(-1)
3.1.3.86	wildtype	Trypanosoma brucei	CC(=O)OC(COP(=O)(O)OC1C(C(C(C(C1O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)OC(=O)C	1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate		57.5	s^(-1)
5.3.1.24	D130T	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		9.2e-05	s^(-1)
5.3.1.24	D130V	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.000183	s^(-1)
5.3.1.24	D130P	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.00022	s^(-1)
5.3.1.24	D173V	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.000283	s^(-1)
5.3.1.24	D130V/D176V	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.0012	s^(-1)
5.3.1.24	D127G	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.0013	s^(-1)
5.3.1.24	D127K	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.0017	s^(-1)
5.3.1.24	D127F	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.0023	s^(-1)
5.3.1.24	D127T	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.0027	s^(-1)
5.3.1.24	D127V	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.009	s^(-1)
5.3.1.24	T164H/D127V	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.009	s^(-1)
5.3.1.24	D169V	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.028	s^(-1)
5.3.1.24	D173V/D127V	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.032	s^(-1)
5.3.1.24	D169V/D127V	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		0.522	s^(-1)
5.3.1.24	R19A	Streptomyces coelicolor	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate	P16250	1.4	s^(-1)
5.3.1.24	wildtype	Streptomyces coelicolor	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate	P16250	12.0	s^(-1)
5.3.1.24	wildtype	Thermotoga maritima	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		130.0	s^(-1)
5.3.1.24	wildtype	Escherichia coli	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		50.0	s^(-1)
5.3.1.24	wildtype	Saccharomyces cerevisiae	C1=CC=C(C(=C1)C(=O)O)NC2C(C(C(O2)COP(=O)(O)O)O)O	N-(5-Phospho-D-ribosyl)anthranilate		69.0	s^(-1)
1.1.1.36	wildtype	Candida tropicalis	CCCCCCCCCCCCCC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O	(3R)-hydroxyhexadecanoyl-CoA		41.0	s^(-1)
1.1.1.36	wildtype	Zoogloea ramigera	CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	2-methylacetoacetyl-CoA		27.0	s^(-1)
1.1.1.36	wildtype	Zoogloea ramigera	CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O)O	D-3-hydroxybutyryl-CoA		90.0	s^(-1)
1.1.1.36	wildtype	Zoogloea ramigera	CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	Acetoacetyl-CoA		300.0	s^(-1)
2.7.1.130	E100Q/D139A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.00048	s^(-1)
2.7.1.130	D138A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.00083	s^(-1)
2.7.1.130	T52A/K51A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.0013	s^(-1)
2.7.1.130	D99A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.0015	s^(-1)
2.7.1.130	E100D	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.0027	s^(-1)
2.7.1.130	E100A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.0029	s^(-1)
2.7.1.130	H261A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.0046	s^(-1)
2.7.1.130	D139N	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.0076	s^(-1)
2.7.1.130	Y74A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.022	s^(-1)
2.7.1.130	D99E	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.05	s^(-1)
2.7.1.130	D138N	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.057	s^(-1)
2.7.1.130	D260A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.073	s^(-1)
2.7.1.130	S53A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		0.47	s^(-1)
2.7.1.130	S49A	Aquifex aeolicus	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N	ATP		3.9	s^(-1)
1.14.15.29	wildtype	Mycobacterium tuberculosis	CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C	Cholesterol		0.47	s^(-1)
1.14.15.29	wildtype	Mycobacterium tuberculosis	CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C	cholestenone		2.92	s^(-1)
1.6.1.1	wildtype	Pseudomonas aeruginosa	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O	NADPH		233.0	s^(-1)
5.1.1.5	T224I/W355Y	Oenococcus oeni	C(CCN)CC(C(=O)O)N	L-Lysine	Q04HB7	0.16	s^(-1)
5.1.1.5	T224I	Oenococcus oeni	C(CCN)CC(C(=O)O)N	L-Lysine	Q04HB7	0.32	s^(-1)
5.1.1.5	T391Y/S394Y	Proteus mirabilis	C(CC(C(=O)O)N)CN=C(N)N	L-Arginine		0.38	s^(-1)
